experiment_name,configuration,model_label,model_name,model_source,task_name,hf_task_name,train_split,validation_split,train_fraction,max_train_samples,max_eval_samples,seed,epochs,batch_size,eval_batch_size,learning_rate,weight_decay,warmup_ratio,gradient_accumulation_steps,max_length,train_examples,validation_examples,parameters,embedding_parameters,training_time_seconds,gpu_memory_mb,notes,loss,accuracy,runtime,samples_per_second,steps_per_second,epoch,f1
reproduction,ALBERT-base_sst2,ALBERT-base,albert-base-v2,pretrained,sst2,sst2,train,validation,1.0,,,42,3.0,16,16,2e-05,0.0,0.0,1,128,67349,872,11685122,3906048,1484.494,2232.996,,0.3925599157810211,0.9185779816513762,2.232,390.676,24.641,3.0,
reproduction,ALBERT-base_mrpc,ALBERT-base,albert-base-v2,pretrained,mrpc,mrpc,train,validation,1.0,,,42,3.0,16,16,2e-05,0.0,0.0,1,128,3668,408,11685122,3906048,84.325,2233.395,,0.4823948740959167,0.875,1.0509,388.223,24.74,3.0,0.9113043478260868
reproduction,ALBERT-base_rte,ALBERT-base,albert-base-v2,pretrained,rte,rte,train,validation,1.0,,,42,3.0,16,16,2e-05,0.0,0.0,1,128,2490,277,11685122,3906048,57.351,2233.395,,0.5831266045570374,0.7328519855595668,0.7116,389.243,25.294,3.0,
reproduction,ALBERT-base_mnli,ALBERT-base,albert-base-v2,pretrained,mnli,mnli,train,validation_matched,1.0,,,42,3.0,16,16,2e-05,0.0,0.0,1,128,392702,9815,11685891,3906048,8725.361,2233.406,,0.508289635181427,0.8490066225165563,25.1744,389.88,24.39,3.0,
reproduction,BERT-base_sst2,BERT-base,bert-base-uncased,pretrained,sst2,sst2,train,validation,1.0,,,42,3.0,16,16,2e-05,0.0,0.0,1,128,67349,872,109483778,23837184,1377.812,2526.109,,0.3595876097679138,0.9174311926605504,1.9519,446.746,28.178,3.0,
reproduction,BERT-base_mrpc,BERT-base,bert-base-uncased,pretrained,mrpc,mrpc,train,validation,1.0,,,42,3.0,16,16,2e-05,0.0,0.0,1,128,3668,408,109483778,23837184,78.848,2528.359,,0.4063728153705597,0.8504901960784313,0.9173,444.79,28.344,3.0,0.892416225749559
reproduction,BERT-base_rte,BERT-base,bert-base-uncased,pretrained,rte,rte,train,validation,1.0,,,42,3.0,16,16,2e-05,0.0,0.0,1,128,2490,277,109483778,23837184,53.575,2532.859,,0.7578450441360474,0.6353790613718412,0.6262,442.374,28.746,3.0,
reproduction,BERT-base_mnli,BERT-base,bert-base-uncased,pretrained,mnli,mnli,train,validation_matched,1.0,,,42,3.0,16,16,2e-05,0.0,0.0,1,128,392702,9815,109484547,23837184,8121.678,2532.621,,0.5810879468917847,0.8440142638818136,22.017,445.792,27.888,3.0,
